trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.95, 'e': 0.0006866761302459271}",20,3,27.698683815352254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.95, 'e': 0.0006523423237336307}",25,13,19.070543818148632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.95, 'e': 0.0006197252075469491}",20,10,17.270172462142853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.95, 'e': 0.0005887389471696016}",25,4,33.44475900121246,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.95, 'e': 0.0005593019998111216}",20,11,15.676211555205647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.95, 'e': 0.0005313368998205655}",25,14,20.6506515044705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.95, 'e': 0.0005047700548295372}",20,0,28.27599067912964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.95, 'e': 0.00047953155208806027}",30,8,33.762248876842705,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.95, 'e': 0.00045555497448365723}",25,15,15.273059886445774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.95, 'e': 0.00043277722575947434}",25,6,35.1554396445115,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.95, 'e': 0.00041113836447150063}",35,20,21.88914564284551,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.95, 'e': 0.0003905814462479256}",30,16,23.186084071835634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.95, 'e': 0.00037105237393552927}",20,0,33.295034791352194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.95, 'e': 0.0003524997552387528}",20,5,26.284364342587157,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.95, 'e': 0.00033487476747681515}",25,16,17.431125928946553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.95, 'e': 0.00031813102910297435}",20,9,16.5930679545387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.95, 'e': 0.0003022244776478256}",30,16,25.552568759397573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.95, 'e': 0.00028711325376543437}",20,2,31.363824424488786,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.95, 'e': 0.00027275759107716263}",25,5,32.54882495772594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.95, 'e': 0.00025911971152330445}",20,5,24.27960889306343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.95, 'e': 0.00024616372594713924}",20,13,13.479557407257706,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.95, 'e': 0.00023385553964978226}",20,6,26.732634139763938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.95, 'e': 0.00022216276266729315}",30,14,28.893949469714283,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.95, 'e': 0.00021105462453392847}",25,15,14.417625289160952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.95, 'e': 0.00020050189330723204}",25,20,8.872746539054898,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.95, 'e': 0.00019047679864187043}",30,13,33.045104733775005,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.95, 'e': 0.0001809529587097769}",20,6,25.67893713705027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.95, 'e': 0.00017190531077428803}",20,16,6.267341629265916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.95, 'e': 0.00016331004523557362}",35,9,43.907261251035244,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.95, 'e': 0.00015514454297379496}",25,0,40.819209042703974,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.95, 'e': 0.00014738731582510518}",25,13,18.985398400217225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.95, 'e': 0.0001400179500338499}",30,17,21.59477631360967,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.95, 'e': 0.00013301705253215742}",20,6,23.942591112322614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.95, 'e': 0.00012636619990554954}",25,3,33.166527050006536,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.95, 'e': 0.00012004788991027206}",30,16,-19.070544914795708,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.95, 'e': 0.00011404549541475845}",20,12,15.743195322464704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.95, 'e': 0.00010834322064402053}",20,0,32.458657689335894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.95, 'e': 0.00010292605961181949}",25,18,13.448993478398346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.95, 'e': 9.777975663122851e-05}",20,8,21.997095893679678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.95, 'e': 9.289076879966709e-05}",25,4,39.21655779445966,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.95, 'e': 8.824623035968373e-05}",20,2,25.323512607970223,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.95, 'e': 8.383391884169954e-05}",25,0,38.01402851376565,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.95, 'e': 7.964222289961456e-05}",25,17,14.768219516290344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
